i,j,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
0,0,ACS,WFC,12116,ANY,75.914292,-66.354701,F475W,CLEAR2L,Dalcanton,1,2013-03-13,lmc_fields/ACS/12116_ANY/jbxg01o3q_flt.fits,0.0,lmc,NGC1818-FIELD-2,POLYGON 75.98679566 -66.32910057 75.8439665 -66.32433515 75.8245859 -66.380656 75.96459382 -66.38390951 75.98679566 -66.32910057 75.98679566 -66.32910057
1,1,ACS,WFC,12116,ANY,75.914292,-66.354701,F475W,CLEAR2L,Dalcanton,670,2013-03-13,lmc_fields/ACS/12116_ANY/jbxg01o7q_flt.fits,0.0,lmc,NGC1818-FIELD-2,POLYGON 75.98679566 -66.32910057 75.8439665 -66.32433515 75.8245859 -66.380656 75.96459382 -66.38390951 75.98679566 -66.32910057 75.98679566 -66.32910057
2,2,ACS,WFC,12116,ANY,75.914292,-66.354701,CLEAR1L,F814W,Dalcanton,670,2013-03-13,lmc_fields/ACS/12116_ANY/jbxg01oaq_flt.fits,0.0,lmc,NGC1818-FIELD-2,POLYGON 75.98679566 -66.32910057 75.8439665 -66.32433515 75.8245859 -66.380656 75.96459382 -66.38390951 75.98679566 -66.32910057 75.98679566 -66.32910057
3,3,ACS,WFC,12116,ANY,75.914292,-66.354701,CLEAR1L,F814W,Dalcanton,2,2013-03-13,lmc_fields/ACS/12116_ANY/jbxg01ofq_flt.fits,0.0,lmc,NGC1818-FIELD-2,POLYGON 75.98679566 -66.32910057 75.8439665 -66.32433515 75.8245859 -66.380656 75.96459382 -66.38390951 75.98679566 -66.32910057 75.98679566 -66.32910057
4,4,ACS,WFC,12257,ANY,91.358779,-75.519097,F475W,CLEAR2L,Girardi,90,2011-10-08,lmc_fields/ACS/12257_ANY/jbhy10fvq_flt.fits,1.0,lmc,NGC2203-FIELD,POLYGON 91.2924756 -75.48772507 91.23106699 -75.54108568 91.45704581 -75.55250646 91.51339898 -75.49742419 91.2924756 -75.48772507 91.2924756 -75.48772507
5,5,ACS,WFC,12257,ANY,91.358779,-75.519097,F475W,CLEAR2L,Girardi,500,2011-10-08,lmc_fields/ACS/12257_ANY/jbhy10fxq_flt.fits,1.0,lmc,NGC2203-FIELD,POLYGON 91.2924756 -75.48772507 91.23106699 -75.54108568 91.45704581 -75.55250646 91.51339898 -75.49742419 91.2924756 -75.48772507 91.2924756 -75.48772507
6,6,ACS,WFC,12257,ANY,91.358593,-75.519107,F475W,CLEAR2L,Girardi,700,2011-10-08,lmc_fields/ACS/12257_ANY/jbhy10g9q_flt.fits,1.0,lmc,NGC2203-FIELD,POLYGON 91.2924756 -75.48772507 91.23106699 -75.54108568 91.45704581 -75.55250646 91.51339898 -75.49742419 91.2924756 -75.48772507 91.2924756 -75.48772507
7,7,ACS,WFC,12257,ANY,91.35859,-75.519075,F475W,CLEAR2L,Girardi,700,2011-10-08,lmc_fields/ACS/12257_ANY/jbhy10gdq_flt.fits,1.0,lmc,NGC2203-FIELD,POLYGON 91.2924756 -75.48772507 91.23106699 -75.54108568 91.45704581 -75.55250646 91.51339898 -75.49742419 91.2924756 -75.48772507 91.2924756 -75.48772507
8,8,ACS,WFC,12257,ANY,91.355529,-75.51865,F475W,CLEAR2L,Girardi,500,2011-10-08,lmc_fields/ACS/12257_ANY/jbhy10ghq_flt.fits,1.0,lmc,NGC2203-FIELD,POLYGON 91.2924756 -75.48772507 91.23106699 -75.54108568 91.45704581 -75.55250646 91.51339898 -75.49742419 91.2924756 -75.48772507 91.2924756 -75.48772507
9,9,ACS,WFC,12257,ANY,91.355527,-75.518618,CLEAR1L,F814W,Girardi,10,2011-10-08,lmc_fields/ACS/12257_ANY/jbhy10gsq_flt.fits,1.0,lmc,NGC2203-FIELD,POLYGON 91.2924756 -75.48772507 91.23106699 -75.54108568 91.45704581 -75.55250646 91.51339898 -75.49742419 91.2924756 -75.48772507 91.2924756 -75.48772507
10,10,ACS,WFC,12257,ANY,91.358908,-75.519097,CLEAR1L,F814W,Girardi,713,2011-10-08,lmc_fields/ACS/12257_ANY/jbhy10gvq_flt.fits,1.0,lmc,NGC2203-FIELD,POLYGON 91.2924756 -75.48772507 91.23106699 -75.54108568 91.45704581 -75.55250646 91.51339898 -75.49742419 91.2924756 -75.48772507 91.2924756 -75.48772507
11,11,ACS,WFC,12257,ANY,91.355713,-75.518608,CLEAR1L,F814W,Girardi,690,2011-10-08,lmc_fields/ACS/12257_ANY/jbhy10gzq_flt.fits,1.0,lmc,NGC2203-FIELD,POLYGON 91.2924756 -75.48772507 91.23106699 -75.54108568 91.45704581 -75.55250646 91.51339898 -75.49742419 91.2924756 -75.48772507 91.2924756 -75.48772507
