instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename
#@string,string,string,string,ra,dec,string,string,string,string,string,string
ACS,WFC,10126,NGC-265,11.796250,-73.477806,CLEAR1L,F435W,Olszewski,440,2004-11-08,clusters/ACS/10126_NGC-265/j90601a7q_flc.fits
ACS,WFC,10126,NGC-265,11.796250,-73.477806,CLEAR1L,F435W,Olszewski,440,2004-11-08,clusters/ACS/10126_NGC-265/j90601a7q_flt.fits
ACS,WFC,10126,NGC-265,11.796250,-73.477806,F555W,CLEAR2L,Olszewski,440,2004-11-08,clusters/ACS/10126_NGC-265/j90601a8q_flc.fits
ACS,WFC,10126,NGC-265,11.796250,-73.477806,F555W,CLEAR2L,Olszewski,440,2004-11-08,clusters/ACS/10126_NGC-265/j90601a8q_flt.fits
ACS,WFC,10126,NGC-265,11.796250,-73.477806,F555W,CLEAR2L,Olszewski,120,2004-11-08,clusters/ACS/10126_NGC-265/j90601abq_flc.fits
ACS,WFC,10126,NGC-265,11.796250,-73.477806,F555W,CLEAR2L,Olszewski,120,2004-11-08,clusters/ACS/10126_NGC-265/j90601abq_flt.fits
ACS,WFC,10126,NGC-265,11.796250,-73.477806,CLEAR1L,F814W,Olszewski,440,2004-11-08,clusters/ACS/10126_NGC-265/j90601acq_flc.fits
ACS,WFC,10126,NGC-265,11.796250,-73.477806,CLEAR1L,F814W,Olszewski,440,2004-11-08,clusters/ACS/10126_NGC-265/j90601acq_flt.fits
ACS,WFC,10126,NGC-265,11.796250,-73.477806,CLEAR1L,F814W,Olszewski,120,2004-11-08,clusters/ACS/10126_NGC-265/j90601afq_flc.fits
ACS,WFC,10126,NGC-265,11.796250,-73.477806,CLEAR1L,F814W,Olszewski,120,2004-11-08,clusters/ACS/10126_NGC-265/j90601afq_flt.fits
ACS,WFC,10126,NGC-290,12.813333,-73.162194,F555W,CLEAR2L,Olszewski,440,2004-10-30,clusters/ACS/10126_NGC-290/j90604ktq_flc.fits
ACS,WFC,10126,NGC-290,12.813333,-73.162194,F555W,CLEAR2L,Olszewski,440,2004-10-30,clusters/ACS/10126_NGC-290/j90604ktq_flt.fits
ACS,WFC,10126,NGC-290,12.813333,-73.162194,F555W,CLEAR2L,Olszewski,120,2004-10-30,clusters/ACS/10126_NGC-290/j90604kwq_flc.fits
ACS,WFC,10126,NGC-290,12.813333,-73.162194,F555W,CLEAR2L,Olszewski,120,2004-10-30,clusters/ACS/10126_NGC-290/j90604kwq_flt.fits
ACS,WFC,10126,NGC-290,12.813333,-73.162194,CLEAR1L,F814W,Olszewski,440,2004-10-30,clusters/ACS/10126_NGC-290/j90604kxq_flc.fits
ACS,WFC,10126,NGC-290,12.813333,-73.162194,CLEAR1L,F814W,Olszewski,440,2004-10-30,clusters/ACS/10126_NGC-290/j90604kxq_flt.fits
ACS,WFC,10126,NGC-290,12.813333,-73.162194,CLEAR1L,F814W,Olszewski,120,2004-10-30,clusters/ACS/10126_NGC-290/j90604l0q_flc.fits
ACS,WFC,10126,NGC-290,12.813333,-73.162194,CLEAR1L,F814W,Olszewski,120,2004-10-30,clusters/ACS/10126_NGC-290/j90604l0q_flt.fits
ACS,WFC,10248,ANY,14.677939,-72.329355,F555W,CLEAR2L,Nota,400,2004-07-17,clusters/ACS/10248_ANY/j92f04gsq_flc.fits
ACS,WFC,10248,ANY,14.677939,-72.329355,F555W,CLEAR2L,Nota,400,2004-07-17,clusters/ACS/10248_ANY/j92f04gsq_flt.fits
ACS,WFC,10248,ANY,14.678706,-72.329631,F555W,CLEAR2L,Nota,400,2004-07-17,clusters/ACS/10248_ANY/j92f04haq_flc.fits
ACS,WFC,10248,ANY,14.678706,-72.329631,F555W,CLEAR2L,Nota,400,2004-07-17,clusters/ACS/10248_ANY/j92f04haq_flt.fits
ACS,WFC,10248,ANY,14.677796,-72.329863,CLEAR1L,F814W,Nota,400,2004-07-17,clusters/ACS/10248_ANY/j92f04hsq_flc.fits
ACS,WFC,10248,ANY,14.677796,-72.329863,CLEAR1L,F814W,Nota,400,2004-07-17,clusters/ACS/10248_ANY/j92f04hsq_flt.fits
ACS,WFC,10248,ANY,14.677030,-72.329587,F555W,CLEAR2L,Nota,400,2004-07-17,clusters/ACS/10248_ANY/j92f04i8q_flc.fits
ACS,WFC,10248,ANY,14.677030,-72.329587,F555W,CLEAR2L,Nota,400,2004-07-17,clusters/ACS/10248_ANY/j92f04i8q_flt.fits
ACS,WFC,10248,ANY,22.317286,-73.708161,F555W,CLEAR2L,Nota,515,2004-07-18,clusters/ACS/10248_ANY/j92f07rhq_flc.fits
ACS,WFC,10248,ANY,22.317286,-73.708161,F555W,CLEAR2L,Nota,515,2004-07-18,clusters/ACS/10248_ANY/j92f07rhq_flt.fits
ACS,WFC,10248,ANY,22.318207,-73.708413,F555W,CLEAR2L,Nota,595,2004-07-18,clusters/ACS/10248_ANY/j92f07s6q_flc.fits
ACS,WFC,10248,ANY,22.318207,-73.708413,F555W,CLEAR2L,Nota,595,2004-07-18,clusters/ACS/10248_ANY/j92f07s6q_flt.fits
ACS,WFC,10248,ANY,22.317308,-73.708671,CLEAR1L,F814W,Nota,556,2004-07-18,clusters/ACS/10248_ANY/j92f07soq_flc.fits
ACS,WFC,10248,ANY,22.317308,-73.708671,CLEAR1L,F814W,Nota,556,2004-07-18,clusters/ACS/10248_ANY/j92f07soq_flt.fits
ACS,WFC,10248,ANY,22.316387,-73.708419,F555W,CLEAR2L,Nota,555,2004-07-18,clusters/ACS/10248_ANY/j92f07t4q_flc.fits
ACS,WFC,10248,ANY,22.316387,-73.708419,F555W,CLEAR2L,Nota,555,2004-07-18,clusters/ACS/10248_ANY/j92f07t4q_flt.fits
ACS,WFC,10248,ANY,15.455802,-72.877673,F555W,CLEAR2L,Nota,515,2004-09-12,clusters/ACS/10248_ANY/j92f10nhq_flc.fits
ACS,WFC,10248,ANY,15.455802,-72.877673,F555W,CLEAR2L,Nota,515,2004-09-12,clusters/ACS/10248_ANY/j92f10nhq_flt.fits
ACS,WFC,10248,ANY,15.455410,-72.878015,F555W,CLEAR2L,Nota,595,2004-09-12,clusters/ACS/10248_ANY/j92f10nzq_flc.fits
ACS,WFC,10248,ANY,15.455410,-72.878015,F555W,CLEAR2L,Nota,595,2004-09-12,clusters/ACS/10248_ANY/j92f10nzq_flt.fits
ACS,WFC,10248,ANY,15.454248,-72.877900,CLEAR1L,F814W,Nota,556,2004-09-12,clusters/ACS/10248_ANY/j92f10ooq_flc.fits
